GPS_Latitude,GPS_Longitude,UTC adjusted datetime Column,Sum of Traction_Diff_radio,Average of Traction_Average,Sum of Engine_Temp,Average of GPS_Speed,Average of Engine_Torque
-12.950011,141.633286,18/01/2025 14:26,0,100,90,7.199999809265137,44.20000076293945
-12.950031,141.634308,18/01/2025 14:24,0.021621621621621623,91.5,90,8.100000381469727,74.69999694824219
-12.94961,141.635757,18/01/2025 14:23,0.10403392505148222,89.30000305175781,87,7.199999809265137,92.40000153
-12.949308,141.636795,18/01/2025 14:21,0.035608330438351724,33.099998474121094,87,1.399999976158142,89.69999694824219
-12.949675,141.637817,18/01/2025 14:19,0.026539278991416688,92.90000153,89,4.199999809265137,43.5
-12.950084,141.638824,18/01/2025 14:18,0.025999984741210937,98.69999694824219,91,4.800000190734863,77.59999847
-12.950314,141.63945,18/01/2025 14:16,0.17199996948242188,91.40000153,90,4.400000095367432,74.30000305175781
-12.94987,141.638321,18/01/2025 14:14,0.23800003051757812,88.09999847,88,3.799999952316284,46.70000076293945
-12.949886,141.638077,18/01/2025 14:13,0.008080839,98.59999847,89,4.400000095367432,48.79999923706055
-12.950421,141.638916,18/01/2025 14:11,0.10400001525878906,94.80000305175781,89,2.700000047683716,89.09999847
-12.950847,141.639572,18/01/2025 14:09,0,100,88,3.5,37.70000076293945
-12.950583,141.63916,18/01/2025 14:08,0,100,90,4.199999809265137,80.90000153
-12.95006,141.638351,18/01/2025 14:06,0.045731706607916194,96.09999847,88,4.800000190734863,61.599998474121094
-12.949578,141.63739,18/01/2025 14:04,0.044808726493126706,89.40000153,87.69999694824219,4.400000095367432,64.09999847
-12.950075,141.638107,18/01/2025 14:03,0.041666618,89.30000305175781,87,1.7999999523162842,19.799999237060547
-12.950348,141.638565,18/01/2025 14:01,0.015527950555836152,95.80000305175781,87,2.200000047683716,32.79999923706055
-12.950395,141.638641,18/01/2025 13:59,NaN,0,86,0,6
-12.95039,141.638641,18/01/2025 13:58,NaN,0,87,0,5.900000095367432
-12.95074,141.639191,18/01/2025 13:56,0,100,91,5,73
-12.950755,141.639252,18/01/2025 13:54,0.023541407310194013,96.5,89.59999847,4.800000190734863,80.90000153
-12.950037,141.638062,18/01/2025 13:52,0.037190145,95,87,4,51.70000076293945
-12.949563,141.637314,18/01/2025 13:51,0.02500002,75,87,4,71
-12.950102,141.63797,18/01/2025 13:41,0.01,99.5,87,4.599999904632568,63.400001525878906
-12.949781,141.637436,18/01/2025 13:39,0.063740843,92.59999847,87,2.4000000953674316,27.100000381469727
-12.950057,141.637726,18/01/2025 13:38,0.063000031,96.80000305175781,87,4.800000190734863,59.099998474121094
-12.950532,141.638489,18/01/2025 13:36,0.1548975584374236,81,89,3.700000047683716,59.099998474121094
-12.950952,141.639175,18/01/2025 13:34,0.13414632908540136,84.09999847,91,2.4000000953674316,83.30000305175781
-12.951159,141.639526,18/01/2025 13:33,0.011111111111111112,89.5,91,4,89
-12.950733,141.638824,18/01/2025 13:31,0.032502707,90.80000305175781,88,4.400000095367432,78.5
