Column1,DateTime,Default GPS,VaneSize,Depth,ShearStrenght,Result,TSF,Comments,Attachments,MachineID,Operator,Instrument,CorrectionFactor,Created,Title,Manual GPS,Modified,Latitude,Longitude
Amrun,17/01/2025 8:18,"-12.94828687, 141.64065592",20x40,100,110,110,North Cell,"Left side 12.94615° S, 141.63963° E",0,MM43,Joe Johanson,H-60,1,17/01/2025 8:18,VS,,17/01/2025 8:18,-12.94828687,141.6406559
Amrun,17/01/2025 8:17,"-12.94828687, 141.64065592",20x40,20,20,20,North Cell,"Left side 12.94615° S, 141.63963° E",0,MM43,Joe Johanson,H-60,1,17/01/2025 8:17,VS,,17/01/2025 8:17,-12.94828687,141.6406559
Amrun,17/01/2025 8:17,"-12.94828687, 141.64065592",20x40,50,14,14,North Cell,"Left side 12.94615° S, 141.63963° E",0,MM43,Joe Johanson,H-60,1,17/01/2025 8:18,VS,,17/01/2025 8:18,-12.94828687,141.6406559
Amrun,17/01/2025 8:16,"-12.94614954, 141.63963398",20x40,20,20,20,North Cell,"Right side 12.94615° S, 141.63963° E",0,MM43,Joe Johanson,H-60,1,17/01/2025 8:16,VS,,17/01/2025 8:16,-12.94614954,141.639634
Amrun,17/01/2025 8:16,"-12.94614954, 141.63963398",20x40,50,20,20,North Cell,"Right side 12.94615° S, 141.63963° E",0,MM43,Joe Johanson,H-60,1,17/01/2025 8:16,VS,,17/01/2025 8:16,-12.94614954,141.639634
Amrun,17/01/2025 8:16,"-12.94828687, 141.64065592",20x40,100,140,140,North Cell,"Right side could not penertate 12.94615° S, 141.63963° E",0,MM43,Joe Johanson,H-60,1,17/01/2025 8:17,VS,,17/01/2025 8:17,-12.94828687,141.6406559
Amrun,17/01/2025 8:15,"-12.94614954, 141.63963398",20x40,20,14,14,North Cell,"Scroll line 12.94615° S, 141.63963° E",0,MM43,Joe Johanson,H-60,1,17/01/2025 8:15,VS,,17/01/2025 8:15,-12.94614954,141.639634
Amrun,17/01/2025 8:15,"-12.94614954, 141.63963398",20x40,50,50,50,North Cell,"Scroll line 12.94615° S, 141.63963° E",0,MM43,Joe Johanson,H-60,1,17/01/2025 8:15,VS,,17/01/2025 8:15,-12.94614954,141.639634
Amrun,17/01/2025 8:15,"-12.94614954, 141.63963398",20x40,100,140,140,North Cell,"Scroll line could not penetrate 12.94615° S, 141.63963° E",0,MM43,Joe Johanson,H-60,1,17/01/2025 8:16,VS,,17/01/2025 8:16,-12.94614954,141.639634
Amrun,14/01/2025 9:45,"-12.94320356, 141.63950838",20x40,50,66,66,North Cell,"Left side 15.70506° S, 142.97070° E",0,MM43,Joe Johanson,H-60,1,14/01/2025 9:45,VS,,14/01/2025 9:45,-12.94320356,141.6395084
Amrun,14/01/2025 9:45,"-12.94320356, 141.63950838",20x40,100,140,140,North Cell,"Left side could not penetrate 15.70506° S, 142.97070° E",0,MM43,Joe Johanson,H-60,1,14/01/2025 9:45,VS,,14/01/2025 9:45,-12.94320356,141.6395084
Amrun,14/01/2025 9:44,"-12.94320356, 141.63950838",20x40,100,140,140,North Cell,"Right side 15.70506° S, 142.97070° E",0,MM43,Joe Johanson,H-60,1,14/01/2025 9:44,VS,,14/01/2025 9:44,-12.94320356,141.6395084
