UTC adjusted datetime Column,GPS_Latitude,GPS_Longitude,Average of Traction_Average,Average of Engine_Torque,Average of GPS_Speed,Sum of Every1000thRow,Sum of Air_Temp_Manifold,Sum of Ambient_Air_Temp,Sum of BEARING_PRESSURE_LEFT_DRIVE,Sum of BEARING_PRESSURE_LEFT_IDLE,Sum of BEARING_PRESSURE_RIGHT_DRIVE,Sum of BEARING_PRESSURE_RIGHT_IDLE,Sum of Boost_Pressure_Left,Sum of Boost_Pressure_Left_Voltage,Sum of Boost_Pressure_Right,Sum of Boost_Pressure_Right_Voltage,Year,Quarter,Month,Day,Sum of Eng_Hours,Sum of Engine_Hours__ECU_,Sum of Engine_RPM,Sum of Engine_Temp,Sum of Expr1,Count of FileDetailId,Sum of G_Force_Lat,Sum of G_Force_Long,Sum of G_Force_Vert,Sum of GPS_Altitude,Year,Quarter,Month,Day,Sum of GPS_Heading,Sum of GPS_Sats_Used,Sum of GPS_Time,Year,Quarter,Month,Day,X devidelineTimeWetBegin,Year,Quarter,Month,Day,Year,Quarter,Month,Day,Vehicle_Id,Sum of Traction_Right,Sum of Traction_Left,Sum of Traction_Diff_radio,Time Video Column,Time second,Time minute,Time hour,Time Column,Sum of Time,Sum of Scroll_Speed_Right,Sum of Scroll_Speed_Left,Sum of Scroll_Speed_Difference,Sum of SCROLL_REVERSE_TABLE_RIGHT,Sum of SCROLL_REVERSE_TABLE_LEFT,Sum of SCROLL_FORWARD_TABLE_RIGHT,Sum of SCROLL_FORWARD_TABLE_LEFT,Sum of RowIndex,Count of MeasurementId,Sum of Main_Hydraulic_Pressure_Right,Sum of Main_Hydraulic_Pressure_Left,Log_Date,Sum of JOY_STICK_RIGHT_REVERSE,Sum of JOY_STICK_RIGHT_FORWARD,Sum of JOY_STICK_LEFT_REVERSE,Sum of JOY_STICK_LEFT_FORWARD,Mud Condition
2025-01-17 14:44:57,-33.218292,116.067780,97.30000305175781,60.900001525878906,3.700000047683716,1,58,24.200000762939453,,10.029999732971191,,8.420000076293945,16.049999237060547,2.0999999046325684,11.100000381469727,1.600000023841858,1899,Qtr 4,December,30,8634,,1998,90,118104,1,0.03999999910593033,0,0,296.8999938964844,1899,Qtr 4,December,30,259.25,16,64457,1899,Qtr 4,December,30,1899-12-30 07:36:18,1899,Qtr 4,December,30,1899,Qtr 4,December,30,MM23,98.5999984741211,96,0.026369153289627065,1899-12-30 14:44:57,57,44,6,1899-12-30 14:44:57,24529,40.06999969482422,41.209999084472656,,54.56999969482422,52.959999084472656,0,0,1727700,1,0,166.6999969482422,20/01/2025,-83.5,-83.30000305175781,-79.80000305175781,-78.5,Unknown
2025-01-17 14:43:17,-33.218132,116.068977,92.69999694824219,76.5999984741211,3.799999952316284,1,50,24.200000762939453,,10.210000038146973,,8.670000076293945,15.8100004196167,2.069999933242798,12.699999809265137,1.7599999904632568,1899,Qtr 4,December,30,8634,,1968,87,118104,1,0.03999999910593033,0.009999999776482582,-0.019999999552965164,295.79998779296875,1899,Qtr 4,December,30,258.6400146484375,16,64317,1899,Qtr 4,December,30,1899-12-30 07:36:18,1899,Qtr 4,December,30,1899,Qtr 4,December,30,MM23,88.5,96.9000015258789,0.08668732088343191,1899-12-30 14:43:17,17,43,6,1899-12-30 14:43:17,24429,45.66999816894531,42.54999923706055,,58.27000045776367,53.209999084472656,0,0,1727600,1,0,155.3000030517578,20/01/2025,-91.69999694824219,-92,-80.30000305175781,-79.0999984741211,Dry (70%)
2025-01-17 14:38:17,-33.218094,116.069397,93.5,54.70000076293945,3.0999999046325684,1,52,23.899999618530273,,10.770000457763672,,9.020000457763672,15.9399995803833,2.0799999237060547,13.119999885559082,1.7999999523162842,1899,Qtr 4,December,30,8633.900390625,,2004,89,118104,1,0.03999999910593033,0.009999999776482582,0,300.3999938964844,1899,Qtr 4,December,30,255.97999572753906,16,63817,1899,Qtr 4,December,30,1899-12-30 07:36:18,1899,Qtr 4,December,30,1899,Qtr 4,December,30,MM23,93.5,93.5,0,1899-12-30 14:38:17,17,38,6,1899-12-30 14:38:17,24129,35.93000030517578,35.470001220703125,,50.9900016784668,49.22999954223633,0,0,1727300,1,0,146.1999969482422,20/01/2025,-74.19999694824219,-73.5999984741211,-67.9000015258789,-66.4000015258789,Unknown
2025-01-17 14:36:37,-33.218014,116.069626,98,74.80000305175781,2.9000000953674316,1,53,24.100000381469727,,10.380000114440918,,8.920000076293945,15.859999656677246,2.0799999237060547,14.569999694824219,1.9500000476837158,1899,Qtr 4,December,30,8633.900390625,,2004,89,118104,1,0,0.009999999776482582,0,301.1000061035156,1899,Qtr 4,December,30,51.2599983215332,16,63637,1899,Qtr 4,December,30,1899-12-30 07:36:18,1899,Qtr 4,December,30,1899,Qtr 4,December,30,MM23,96.0999984741211,100,0.039000015258789066,1899-12-30 14:36:37,37,36,6,1899-12-30 14:36:37,24029,32.650001525878906,31.09000015258789,,0,0,49.2400016784668,52.97999954223633,1727200,1,120.80000305175781,154.8000030517578,20/01/2025,67.19999694824219,70.69999694824219,77.5999984741211,77.0999984741211,Unknown
2025-01-17 14:34:57,-33.217945,116.069656,90.69999694824219,72.19999694824219,2.9000000953674316,1,52,24,,10.220000267028809,,8.930000305175781,15.880000114440918,2.0799999237060547,12.819999694824219,1.7699999809265137,1899,Qtr 4,December,30,8633.7998046875,,1992,90,118104,1,0.09000000357627869,0.019999999552965164,0.029999999329447746,301.79998779296875,1899,Qtr 4,December,30,228.92999267578125,16,63457,1899,Qtr 4,December,30,1899-12-30 07:36:18,1899,Qtr 4,December,30,1899,Qtr 4,December,30,MM23,91.9000015258789,89.5999984741211,0.02502723627387683,1899-12-30 14:34:57,57,34,6,1899-12-30 14:34:57,23929,33.560001373291016,32.68000030517578,,50.560001373291016,48.470001220703125,0,0,1727100,1,125.9000015258789,185.89999389648438,20/01/2025,-73,-72.4000015258789,-64.9000015258789,-63.400001525878906,Unknown
2025-01-17 14:33:17,-33.218117,116.069290,94,55.099998474121094,2.700000047683716,1,52,24,,9.960000038146973,,9.029999732971191,15.779999732971191,2.069999933242798,11.640000343322754,1.649999976158142,1899,Qtr 4,December,30,8633.7998046875,,2004,88,118104,1,0.019999999552965164,0.009999999776482582,0,300.8999938964844,1899,Qtr 4,December,30,83.9800033569336,16,63317,1899,Qtr 4,December,30,1899-12-30 07:36:18,1899,Qtr 4,December,30,1899,Qtr 4,December,30,MM23,88.9000015258789,99.19999694824219,0.10383060220997109,1899-12-30 14:33:17,17,33,6,1899-12-30 14:33:17,23829,31.709999084472656,29.93000030517578,,0,0,47.459999084472656,51.36000061035156,1727000,1,0,124.19999694824219,20/01/2025,62.099998474121094,65.5999984741211,72.5999984741211,72.4000015258789,Unknown
2025-01-17 14:27:18,-33.218102,116.069168,96.5,59.400001525878906,3.299999952316284,1,56,23.700000762939453,,9.869999885559082,,9.40999984741211,15.979999542236328,2.0899999141693115,13.989999771118164,1.8899999856948853,1899,Qtr 4,December,30,8633.7001953125,,2004,91,118104,1,0.05000000074505806,0.03999999910593033,0.05000000074505806,301.29998779296875,1899,Qtr 4,December,30,234.36000061035156,17,62718,1899,Qtr 4,December,30,1899-12-30 07:36:18,1899,Qtr 4,December,30,1899,Qtr 4,December,30,MM23,93,100,0.07,1899-12-30 14:27:18,18,27,6,1899-12-30 14:27:18,23470,37.70000076293945,33.619998931884766,,52.849998474121094,48.2400016784668,0,0,1726200,1,0,103.9000015258789,20/01/2025,-79.5,-79.0999984741211,-64.0999984741211,-62.599998474121094,Unknown
2025-01-17 14:25:38,-33.217770,116.069725,80,84.80000305175781,1.600000023841858,1,57,23.5,,10.140000343322754,,9.279999732971191,16.170000076293945,2.109999895095825,13.970000267028809,1.8899999856948853,1899,Qtr 4,December,30,8633.7001953125,,1926,92,118104,1,0.009999999776482582,0,-0.05000000074505806,302.6000061035156,1899,Qtr 4,December,30,58.0099983215332,17,62538,1899,Qtr 4,December,30,1899-12-30 07:36:18,1899,Qtr 4,December,30,1899,Qtr 4,December,30,MM23,79.30000305175781,80.69999694824219,0.01734812824568353,1899-12-30 14:25:38,38,25,6,1899-12-30 14:25:38,23370,20.889999389648438,21.31999969482422,,0,0,44.47999954223633,48.540000915527344,1725900,1,71.30000305175781,231.39999389648438,20/01/2025,54,57.099998474121094,64.80000305175781,64.4000015258789,Unknown
2025-01-17 10:57:52,-33.217876,116.068375,92.5999984741211,60.900001525878906,2.700000047683716,1,48,23.899999618530273,,9.850000381469727,,8.770000457763672,12.529999732971191,1.7400000095367432,12.579999923706055,1.75,1899,Qtr 4,December,30,8631.400390625,,2004,87,118104,1,0.05999999865889549,0.009999999776482582,-0.009999999776482582,304.1000061035156,1899,Qtr 4,December,30,237.47999572753906,16,25752,1899,Qtr 4,December,30,1899-12-30 07:36:18,1899,Qtr 4,December,30,1899,Qtr 4,December,30,MM23,95.5999984741211,89.5999984741211,0.06276150727789184,1899-12-30 10:57:52,52,57,2,1899-12-30 10:57:52,15203,30.1200008392334,32.099998474121094,,48.86000061035156,48.70000076293945,0,0,1679800,1,0,196.10000610351562,20/01/2025,-68.4000015258789,-67.4000015258789,-65.5999984741211,-64.19999694824219,Unknown
2025-01-17 10:57:32,-33.217793,116.068520,93.0999984741211,67.9000015258789,3.0999999046325684,1,44,23.899999618530273,,9.819999694824219,,8.760000228881836,12.350000381469727,1.7300000190734863,11.710000038146973,1.659999966621399,1899,Qtr 4,December,30,8631.400390625,,1986,87,118104,1,0.05000000074505806,0.029999999329447746,0.019999999552965164,304,1899,Qtr 4,December,30,233.5500030517578,16,25732,1899,Qtr 4,December,30,1899-12-30 07:36:18,1899,Qtr 4,December,30,1899,Qtr 4,December,30,MM23,86.30000305175781,100,0.13699996948242188,1899-12-30 10:57:32,32,57,2,1899-12-30 10:57:32,15183,37.560001373291016,33.56999969482422,,53.36000061035156,49.310001373291016,0,0,1679700,1,50.29999923706055,161.39999389648438,20/01/2025,-80.80000305175781,-80.30000305175781,-67.69999694824219,-66.19999694824219,Unknown
