Filename,Latitude,Longitude,LSTM Prediction,ElasticNet Prediction
2024-12-07T02-35-31.447633Z_210_vnaData.s1p,-28.863292,122.527631,43.643616,34.43638323236757
2024-12-07T02-35-42.967849Z_210_vnaData.s1p,-28.863294,122.527632,63.718956,54.56408173956933
2024-12-07T02-35-54.351958Z_210_vnaData.s1p,-28.863294,122.527642,49.949963,36.05458639254941
2024-12-07T02-36-17.374187Z_210_vnaData.s1p,-28.863294,122.527651,70.60074,52.1453197485662
2024-12-07T02-36-40.354960Z_210_vnaData.s1p,-28.863296,122.527653,43.982635,13.192453297373703
2024-12-07T02-37-03.227976Z_210_vnaData.s1p,-28.863289,122.527652,36.91644,20.696193733220213
2024-12-07T02-37-14.678737Z_210_vnaData.s1p,-28.863287,122.527653,46.88266,32.10395538520663
2024-12-07T02-37-26.154739Z_210_vnaData.s1p,-28.863287,122.527653,51.406532,19.021226397951757
2024-12-07T02-37-37.582985Z_210_vnaData.s1p,-28.863287,122.527653,41.92743,24.782051875659995
2024-12-07T02-38-00.494569Z_210_vnaData.s1p,-28.863287,122.527653,78.84052,51.434063146044984
2024-12-07T02-38-23.503149Z_210_vnaData.s1p,-28.863287,122.527653,73.74405,40.3596711155822
2024-12-07T02-38-34.893731Z_210_vnaData.s1p,-28.863287,122.527653,67.825195,46.53159850140564
2024-12-07T02-38-46.469031Z_210_vnaData.s1p,-28.863287,122.527653,80.026245,47.42870591760059
2024-12-07T02-39-09.408270Z_210_vnaData.s1p,-28.863287,122.527653,55.66532,45.642391495066576
2024-12-07T02-39-20.820334Z_210_vnaData.s1p,-28.863287,122.527653,44.63844,36.62177161156466
2024-12-07T02-39-43.857428Z_210_vnaData.s1p,-28.863287,122.527653,63.651848,42.95199211059624
2024-12-07T02-39-55.346107Z_210_vnaData.s1p,-28.863287,122.527653,67.46207,48.713425789060196
2024-12-07T02-40-06.835631Z_210_vnaData.s1p,-28.863293,122.527662,55.90813,41.03637197035394
2024-12-07T02-40-29.650944Z_210_vnaData.s1p,-28.863292,122.527649,70.10428,34.28866734993241
2024-12-07T02-40-52.676752Z_210_vnaData.s1p,-28.863293,122.527655,80.71377,65.15735112603349
2024-12-07T02-41-04.099818Z_210_vnaData.s1p,-28.863292,122.52766,69.58495,66.70355816709026
2024-12-07T02-41-15.647496Z_210_vnaData.s1p,-28.863283,122.527671,52.50802,54.32592503288249
2024-12-07T02-41-38.612240Z_210_vnaData.s1p,-28.863275,122.527669,79.68957,70.5768302553181
2024-12-07T02-42-01.555705Z_210_vnaData.s1p,-28.863143,122.527644,87.101616,83.39368777836012
2024-12-07T02-42-12.967624Z_210_vnaData.s1p,-28.86305,122.527635,89.51501,106.08362051575642
2024-12-07T02-42-24.476150Z_210_vnaData.s1p,-28.862939,122.527615,83.22141,51.43455676617117
2024-12-07T02-42-35.963628Z_210_vnaData.s1p,-28.862845,122.527614,83.02337,82.78643100036712
2024-12-07T02-42-58.849835Z_210_vnaData.s1p,-28.862615,122.527583,104.61884,103.59285383512554
2024-12-07T02-43-21.872731Z_210_vnaData.s1p,-28.862415,122.527547,57.421127,54.30268868809318
2024-12-07T02-43-33.307220Z_210_vnaData.s1p,-28.862343,122.527537,84.29861,56.39601958299001
2024-12-07T02-43-44.850495Z_210_vnaData.s1p,-28.862244,122.527522,83.52677,44.60668033375556
2024-12-07T02-44-07.807360Z_210_vnaData.s1p,-28.862171,122.527545,40.285007,47.5215449674651
2024-12-07T02-44-30.813651Z_210_vnaData.s1p,-28.862184,122.527538,29.120623,35.24838148940914
2024-12-07T02-44-53.924498Z_210_vnaData.s1p,-28.862253,122.527469,31.403524,29.89870883545832
2024-12-07T02-45-05.449462Z_210_vnaData.s1p,-28.862333,122.527415,19.256935,-1.6074011368356977
2024-12-07T02-45-16.833279Z_210_vnaData.s1p,-28.862396,122.52736,37.413128,-10.50606824907652
2024-12-07T02-45-39.740281Z_210_vnaData.s1p,-28.862603,122.527214,31.564379,29.602785551591975
2024-12-07T02-45-51.249029Z_210_vnaData.s1p,-28.862696,122.527137,73.85177,41.54689421205348
2024-12-07T02-46-14.030361Z_210_vnaData.s1p,-28.862883,122.526992,42.06881,96.34716856685608
2024-12-07T02-46-25.526349Z_210_vnaData.s1p,-28.862991,122.526923,50.968105,68.16524912540552
2024-12-07T02-46-37.001736Z_210_vnaData.s1p,-28.863106,122.526854,68.136925,77.58168332146447
2024-12-07T02-46-59.944811Z_210_vnaData.s1p,-28.863232,122.526737,106.19155,118.79854916841603
2024-12-07T02-47-22.844222Z_210_vnaData.s1p,-28.862992,122.526933,68.03803,40.10636847455572
2024-12-07T02-47-34.374969Z_210_vnaData.s1p,-28.86297,122.526953,15.8597765,36.53849960753762
2024-12-07T02-47-45.750382Z_210_vnaData.s1p,-28.862973,122.526952,35.788364,44.805230170438975
2024-12-07T02-47-57.241037Z_210_vnaData.s1p,-28.862978,122.52695,39.567852,55.24465072643909
2024-12-07T02-48-20.343884Z_210_vnaData.s1p,-28.862976,122.52695,41.338646,59.69510618186257
2024-12-07T02-48-31.842080Z_210_vnaData.s1p,-28.862976,122.526947,34.82103,55.189308984269154
2024-12-07T02-48-43.308622Z_210_vnaData.s1p,-28.862976,122.526947,40.85103,61.81467132856939
